rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
121,World,Latin America and the Caribbean,Caribbean,Montserrat,Montserrat,NA,NA,NA,NA
122,World,Latin America and the Caribbean,Caribbean,Saint Lucia,Saint Lucia,NA,NA,NA,NA
123,World,Latin America and the Caribbean,Caribbean,Dominica,Dominica,2018,0.479059167,0.595811833,0
124,World,Latin America and the Caribbean,Caribbean,Barbados,Barbados,2018,0.803243967,0.660648793,0
125,World,Latin America and the Caribbean,Caribbean,Grenada,Grenada,2018,0.278829717,0.555765943,0
126,World,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,Trinidad and Tobago,2018,0.090914517,0.518182903,0
127,World,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,NA,NA,NA,NA
129,World,Latin America and the Caribbean,Central America,Panama,Panama,2018,0.102261333,0.520452267,0
130,World,Latin America and the Caribbean,Central America,Costa Rica,Costa Rica,2018,0.586524317,0.617304863,0
131,World,Latin America and the Caribbean,Central America,Nicaragua,Nicaragua,2018,-0.9127236,0.31745528,0
132,World,Latin America and the Caribbean,South America,Colombia,Colombia,2018,-0.181457367,0.463708527,0
133,World,Latin America and the Caribbean,Central America,Honduras,Honduras,2018,-0.63138385,0.37372323,0
134,World,Latin America and the Caribbean,Central America,El Salvador,El Salvador,2018,-0.365807817,0.426838437,0
135,World,Latin America and the Caribbean,Central America,Mexico,Mexico,2018,-0.3528875,0.4294225,0
136,World,Latin America and the Caribbean,Central America,Guatemala,Guatemala,2018,-0.6058319,0.37883362,0
137,World,Latin America and the Caribbean,South America,Ecuador,Ecuador,2018,-0.398648533,0.420270293,0
138,World,Latin America and the Caribbean,South America,Peru,Peru,2018,-0.134862267,0.473027547,0
139,World,Latin America and the Caribbean,South America,Venezuela,Venezuela,NA,NA,NA,NA
140,World,Latin America and the Caribbean,Caribbean,Guadeloupe and Martinique,Guadeloupe and Martinique,NA,NA,NA,NA
141,World,Europe,Northern Europe,Faeroe Islands,Faeroe Islands,NA,NA,NA,NA
143,World,Europe,Northern Europe,Iceland,Iceland,2018,1.545318333,0.809063667,0
144,World,Europe,Northern Europe,Jan Mayen,Jan Mayen,NA,NA,NA,NA
145,World,Europe,Northern Europe,Greenland,Greenland,2018,1.395914283,0.779182857,0
146,World,Oceania,Polynesia,Pitcairn,Pitcairn,NA,NA,NA,NA
147,World,Oceania,Polynesia,French Polynesia,French Polynesia,NA,NA,NA,NA
148,World,Oceania,Micronesia,Line Group,Line Group,NA,NA,NA,NA
149,World,Oceania,Micronesia,Jarvis Island,Jarvis Island,NA,NA,NA,NA
150,World,Oceania,Micronesia,Palmyra Atoll,Palmyra Atoll,NA,NA,NA,NA
151,World,Oceania,Polynesia,American Samoa,American Samoa,2018,0.923980492,0.684796098,1
152,World,Oceania,Polynesia,Samoa,Samoa,2018,0.648858567,0.629771713,0
153,World,Oceania,Polynesia,Cook Islands,Cook Islands,2018,0.07904758,0.515809516,6
154,World,Oceania,Polynesia,Niue,Niue,2018,-0.3909326,0.42181348,6
155,World,Oceania,Polynesia,Tonga,Tonga,2018,0.25781145,0.55156229,0
156,World,Oceania,Polynesia,Tokelau,Tokelau,NA,NA,NA,NA
157,World,Oceania,Micronesia,Phoenix Group,Phoenix Group,NA,NA,NA,NA
158,World,Oceania,Micronesia,Howland Island and Baker Island,Howland Island and Baker Island,NA,NA,NA,NA
159,World,Oceania,Micronesia,Johnston Atoll,Johnston Atoll,NA,NA,NA,NA
