species_id,sciname,kingdom,phylum,tot_count_cells,num_countries,xbd
W-Msc-420768,Parvamussium cancellatum,Animalia,Mollusca,403,17,transboundary
W-Msc-420772,Spondylus americanus,Animalia,Mollusca,929,41,transboundary
W-Msc-420774,Dimya argentea,Animalia,Mollusca,872,41,transboundary
W-Msc-420775,Dimya tigrina,Animalia,Mollusca,749,37,transboundary
W-Msc-420776,Pododesmus rudis,Animalia,Mollusca,497,24,transboundary
W-Msc-420777,Crassostrea rhizophorae,Animalia,Mollusca,758,42,transboundary
W-Msc-420779,Dendostrea frons,Animalia,Mollusca,1170,48,transboundary
W-Msc-420781,Teskeyostrea weberi,Animalia,Mollusca,304,19,transboundary
W-Msc-420787,Codakia orbicularis,Animalia,Mollusca,118,4,transboundary
W-Msc-420788,Ctena orbiculata,Animalia,Mollusca,734,32,transboundary
W-Msc-420791,Lucina pensylvanica,Animalia,Mollusca,695,41,transboundary
W-Msc-420792,Lucinisca muricata,Animalia,Mollusca,938,30,transboundary
W-Msc-420793,Lucinisca nassula,Animalia,Mollusca,1157,45,transboundary
W-Msc-420796,Myrtea sagrinata,Animalia,Mollusca,912,31,transboundary
W-Msc-420800,Phacoides pectinata,Animalia,Mollusca,356,18,transboundary
W-Msc-420801,Pleurolucina leucocyma,Animalia,Mollusca,317,14,transboundary
W-Msc-420805,Conchocele bisecta,Animalia,Mollusca,2248,12,transboundary
W-Msc-420806,Diplodonta notata,Animalia,Mollusca,535,26,transboundary
W-Msc-420808,Diplodonta punctata,Animalia,Mollusca,1189,46,transboundary
W-Msc-420810,Phlyctiderma semiaspera,Animalia,Mollusca,360,16,transboundary
W-Msc-420813,Arcinella cornuta,Animalia,Mollusca,513,23,transboundary
W-Msc-420814,Chama congregata,Animalia,Mollusca,795,34,transboundary
W-Msc-420815,Chama florida,Animalia,Mollusca,462,30,transboundary
W-Msc-420817,Chama lactuca,Animalia,Mollusca,478,27,transboundary
W-Msc-420819,Chama sarda,Animalia,Mollusca,424,26,transboundary
W-Msc-420823,Erycina periscopiana,Animalia,Mollusca,422,20,transboundary
W-Msc-420830,Basterotia quadrata,Animalia,Mollusca,1213,42,transboundary
W-Msc-420834,Pleuromeris armilla,Animalia,Mollusca,263,12,transboundary
W-Msc-420835,Pleuromeris tridentata,Animalia,Mollusca,727,32,transboundary
W-Msc-420836,Pteromeris perplana,Animalia,Mollusca,494,24,transboundary
W-Msc-420837,Carditopsis smithii,Animalia,Mollusca,545,23,transboundary
W-Msc-420839,Astarte globula,Animalia,Mollusca,195,31,transboundary
W-Msc-420841,Astarte smithii,Animalia,Mollusca,852,44,transboundary
W-Msc-420842,Crassinella dupliniana,Animalia,Mollusca,518,21,transboundary
W-Msc-420843,Crassinella lunulata,Animalia,Mollusca,1139,48,transboundary
W-Msc-420845,Eucrassatella speciosa,Animalia,Mollusca,514,30,transboundary
W-Msc-420847,Americardia media,Animalia,Mollusca,1092,42,transboundary
W-Msc-420849,Anatina anatina,Animalia,Mollusca,178,7,transboundary
W-Msc-420851,Raeta plicatella,Animalia,Mollusca,913,25,transboundary
W-Msc-420855,Angulus agilis,Animalia,Mollusca,108,3,transboundary
W-Msc-420856,Angulus merus,Animalia,Mollusca,643,34,transboundary
W-Msc-420859,Angulus sybariticus,Animalia,Mollusca,258,12,transboundary
W-Msc-420862,Angulus texanus,Animalia,Mollusca,242,14,transboundary
W-Msc-420863,Angulus versicolor,Animalia,Mollusca,155,2,transboundary
W-Msc-420864,Arcopagia fausta,Animalia,Mollusca,423,33,transboundary
W-Msc-420865,Cymatoica orientalis,Animalia,Mollusca,591,37,transboundary
W-Msc-420869,Eurytellina lineata,Animalia,Mollusca,141,13,transboundary
W-Msc-420870,Eurytellina nitens,Animalia,Mollusca,246,16,transboundary
W-Msc-420873,Laciolina magna,Animalia,Mollusca,251,11,transboundary
W-Msc-420876,Macoma carlottensis,Animalia,Mollusca,269,2,transboundary
W-Msc-420882,Macoma pseudomera,Animalia,Mollusca,518,29,transboundary
W-Msc-420883,Macoma pulleyi,Animalia,Mollusca,284,13,transboundary
W-Msc-420884,Macoma tageliformis,Animalia,Mollusca,733,29,transboundary
W-Msc-420889,Scissula candeana,Animalia,Mollusca,412,22,transboundary
W-Msc-420892,Scissula similis,Animalia,Mollusca,532,27,transboundary
W-Msc-420895,Strigilla mirabilis,Animalia,Mollusca,1099,46,transboundary
W-Msc-420900,Tellina radiata,Animalia,Mollusca,801,39,transboundary
W-Msc-420901,Tellinella listeri,Animalia,Mollusca,542,28,transboundary
W-Msc-420903,Donax fossor,Animalia,Mollusca,112,1,singlecountry
W-Msc-420904,Donax texasianus,Animalia,Mollusca,86,4,transboundary
W-Msc-420907,Heterodonax bimaculatus,Animalia,Mollusca,243,11,transboundary
W-Msc-420909,Sanguinolaria sanguinolenta,Animalia,Mollusca,250,23,transboundary
W-Msc-420912,Ervilia nitens,Animalia,Mollusca,628,37,transboundary
W-Msc-420914,Semele bellastriata,Animalia,Mollusca,731,39,transboundary
W-Msc-420915,Semele proficua,Animalia,Mollusca,889,40,transboundary
W-Msc-420916,Semele purpurascens,Animalia,Mollusca,534,27,transboundary
W-Msc-420917,Semelina nuculoides,Animalia,Mollusca,1302,49,transboundary
W-Msc-420926,Polymesoda caroliniana,Animalia,Mollusca,285,19,transboundary
W-Msc-420933,Chione mazyckii,Animalia,Mollusca,765,37,transboundary
W-Msc-420935,Dosinia elegans,Animalia,Mollusca,596,30,transboundary
W-Msc-420939,Gouldia cerina,Animalia,Mollusca,758,40,transboundary
W-Msc-420942,Lirophora latilirata,Animalia,Mollusca,467,21,transboundary
W-Msc-420943,Lirophora paphia,Animalia,Mollusca,575,39,transboundary
W-Msc-420945,Macrocallista nimbosa,Animalia,Mollusca,168,4,transboundary
W-Msc-420946,Parastarte triquetra,Animalia,Mollusca,374,18,transboundary
W-Msc-420948,Pitar albidus,Animalia,Mollusca,3187,68,transboundary
W-Msc-420949,Pitar arestus,Animalia,Mollusca,767,44,transboundary
W-Msc-420952,Pitar fulminatus,Animalia,Mollusca,971,42,transboundary
W-Msc-420955,Pitar simpsoni,Animalia,Mollusca,703,43,transboundary
W-Msc-420956,Pitar zonatus,Animalia,Mollusca,498,22,transboundary
W-Msc-420958,Puberella intapurpurea,Animalia,Mollusca,149,9,transboundary
W-Msc-420969,Transennella stimpsoni,Animalia,Mollusca,511,23,transboundary
W-Msc-420984,Gastrochaena ovata,Animalia,Mollusca,2185,58,transboundary
W-Msc-420987,Spengleria rostrata,Animalia,Mollusca,459,26,transboundary
W-Msc-420991,Jouannetia quillingi,Animalia,Mollusca,193,5,transboundary
W-Msc-421001,Pandora bushiana,Animalia,Mollusca,588,21,transboundary
W-Msc-421003,Asthenothaerus hemphilli,Animalia,Mollusca,723,35,transboundary
W-Msc-421010,Plectodon granulatus,Animalia,Mollusca,862,40,transboundary
W-Msc-422678,Mercenaria campechiensis,Animalia,Mollusca,826,42,transboundary
W-Msc-422914,Ruditapes decussatus,Animalia,Mollusca,978,36,transboundary
W-Msc-423165,Astarte esquimalti,Animalia,Mollusca,476,10,transboundary
W-Msc-423498,Macoma obliqua,Animalia,Mollusca,774,3,transboundary
W-Msc-423927,Mitra papalis,Animalia,Mollusca,1090,25,transboundary
W-Msc-426289,Conus adamsonii,Animalia,Mollusca,102,9,transboundary
W-Msc-426318,Conus andamanensis,Animalia,Mollusca,320,9,transboundary
W-Msc-426372,Conus aurisiacus,Animalia,Mollusca,447,7,transboundary
W-Msc-426417,Conus bozzettii,Animalia,Mollusca,140,9,transboundary
W-Msc-426449,Conus cervus,Animalia,Mollusca,1419,26,transboundary
W-Msc-426454,Conus circumactis,Animalia,Mollusca,1059,22,transboundary
W-Msc-426455,Conus circumcisus,Animalia,Mollusca,1312,23,transboundary
W-Msc-426469,Conus cuvieri,Animalia,Mollusca,248,10,transboundary
W-Msc-426487,Conus encaustus,Animalia,Mollusca,144,13,transboundary
W-Msc-426490,Conus eugrammatus,Animalia,Mollusca,698,15,transboundary
W-Msc-426492,Conus excelsus,Animalia,Mollusca,1122,23,transboundary
W-Msc-426493,Conus exiguus,Animalia,Mollusca,43,3,transboundary
W-Msc-426494,Conus eximius,Animalia,Mollusca,1143,13,transboundary
W-Msc-426497,Conus ferrugineus,Animalia,Mollusca,1721,26,transboundary
W-Msc-428182,Conus lienardi,Animalia,Mollusca,76,3,transboundary
W-Msc-428202,Conus marchionatus,Animalia,Mollusca,9,1,singlecountry
W-Msc-428254,Conus puncticulatus,Animalia,Mollusca,40,9,transboundary
