iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,num_countries,xbd
11060,Kuhlia marginata,ANIMALIA,CHORDATA,LC,22692,34,transboundary
11130,Lachnolaimus maximus,ANIMALIA,CHORDATA,VU,17158,42,transboundary
11140,Lagenodelphis hosei,ANIMALIA,CHORDATA,LC,1749741,161,transboundary
11141,Lagenorhynchus acutus,ANIMALIA,CHORDATA,LC,103368,21,transboundary
11142,Lagenorhynchus albirostris,ANIMALIA,CHORDATA,LC,128278,28,transboundary
11143,Lagenorhynchus australis,ANIMALIA,CHORDATA,LC,10185,4,transboundary
11144,Lagenorhynchus cruciger,ANIMALIA,CHORDATA,LC,624971,16,transboundary
11145,Lagenorhynchus obliquidens,ANIMALIA,CHORDATA,LC,153108,11,transboundary
11146,Lagenorhynchus obscurus,ANIMALIA,CHORDATA,LC,78624,12,transboundary
11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,DD,45420,23,transboundary
11200,Lamna nasus,ANIMALIA,CHORDATA,VU,1011817,72,transboundary
11501,Lentipes concolor,ANIMALIA,CHORDATA,DD,4124,1,singlecountry
11534,Lepidochelys olivacea,ANIMALIA,CHORDATA,VU,795293,140,transboundary
11696,Leptonychotes weddellii,ANIMALIA,CHORDATA,LC,213841,3,transboundary
12125,Lissodelphis borealis,ANIMALIA,CHORDATA,LC,100269,8,transboundary
12126,Lissodelphis peronii,ANIMALIA,CHORDATA,LC,852724,23,transboundary
12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,EN,1492,1,singlecountry
12244,Liza luciae,ANIMALIA,CHORDATA,EN,992,2,transboundary
12246,Lobodon carcinophaga,ANIMALIA,CHORDATA,LC,205055,3,transboundary
12302,Lontra canadensis,ANIMALIA,CHORDATA,LC,9180,3,transboundary
12303,Lontra felina,ANIMALIA,CHORDATA,EN,1956,2,transboundary
12305,Lontra provocax,ANIMALIA,CHORDATA,EN,747,2,transboundary
12416,Lutjanus analis,ANIMALIA,CHORDATA,NT,19362,42,transboundary
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,VU,24925,43,transboundary
12419,Lutra lutra,ANIMALIA,CHORDATA,NT,5297,41,transboundary
12421,Lutra sumatrana,ANIMALIA,CHORDATA,EN,527,6,transboundary
12427,Lutrogale perspicillata,ANIMALIA,CHORDATA,VU,1531,9,transboundary
13006,Megaptera novaeangliae,ANIMALIA,CHORDATA,LC,3458615,193,transboundary
13145,Menidia conchorum,ANIMALIA,CHORDATA,EN,103,1,singlecountry
13232,Mesogobius batrachocephalus,ANIMALIA,CHORDATA,LC,4431,7,transboundary
13241,Mesoplodon bidens,ANIMALIA,CHORDATA,DD,144725,25,transboundary
13244,Mesoplodon densirostris,ANIMALIA,CHORDATA,DD,2400464,170,transboundary
13245,Mesoplodon europaeus,ANIMALIA,CHORDATA,DD,458787,80,transboundary
13246,Mesoplodon ginkgodens,ANIMALIA,CHORDATA,DD,1072255,66,transboundary
13247,Mesoplodon grayi,ANIMALIA,CHORDATA,DD,932712,20,transboundary
13248,Mesoplodon hectori,ANIMALIA,CHORDATA,DD,630169,19,transboundary
13250,Mesoplodon mirus,ANIMALIA,CHORDATA,DD,364046,29,transboundary
13251,Mesoplodon peruvianus,ANIMALIA,CHORDATA,DD,219383,13,transboundary
13252,Mesoplodon stejnegeri,ANIMALIA,CHORDATA,DD,77681,9,transboundary
13581,Mirounga angustirostris,ANIMALIA,CHORDATA,LC,104159,5,transboundary
13583,Mirounga leonina,ANIMALIA,CHORDATA,LC,713065,17,transboundary
13653,Monachus monachus,ANIMALIA,CHORDATA,EN,2938,8,transboundary
13654,Neomonachus schauinslandi,ANIMALIA,CHORDATA,EN,2835,2,transboundary
13704,Monodon monoceros,ANIMALIA,CHORDATA,LC,34758,7,transboundary
14048,Mycteroperca cidi,ANIMALIA,CHORDATA,DD,1020,7,transboundary
14049,Mycteroperca jordani,ANIMALIA,CHORDATA,EN,3025,1,singlecountry
14050,Mycteroperca microlepis,ANIMALIA,CHORDATA,VU,8794,4,transboundary
14051,Mycteroperca olfax,ANIMALIA,CHORDATA,VU,187,3,transboundary
14052,Mycteroperca prionura,ANIMALIA,CHORDATA,DD,987,1,singlecountry
14053,Mycteroperca rosacea,ANIMALIA,CHORDATA,LC,2941,1,singlecountry
14054,Mycteroperca rubra,ANIMALIA,CHORDATA,LC,8021,31,transboundary
14264,Myxus capensis,ANIMALIA,CHORDATA,LC,1113,1,singlecountry
14549,Neophoca cinerea,ANIMALIA,CHORDATA,EN,4265,1,singlecountry
15106,Odobenus rosmarus,ANIMALIA,CHORDATA,VU,67031,6,transboundary
15184,Ogilbia galapagosensis,ANIMALIA,CHORDATA,VU,104,1,singlecountry
15269,Ommatophoca rossii,ANIMALIA,CHORDATA,LC,205055,3,transboundary
15419,Orcaella brevirostris,ANIMALIA,CHORDATA,EN,6390,11,transboundary
15421,Orcinus orca,ANIMALIA,CHORDATA,DD,3531549,215,transboundary
15873,Pagrus pagrus,ANIMALIA,CHORDATA,LC,32157,44,transboundary
15939,Pandaka pygmaea,ANIMALIA,CHORDATA,CR,1186,3,transboundary
16011,Favonigobius melanobranchus,ANIMALIA,CHORDATA,LR/nt,66357,32,transboundary
16012,Favonigobius reichei,ANIMALIA,CHORDATA,LC,45396,34,transboundary
16474,Pegasus lancifer,ANIMALIA,CHORDATA,LC,7576,1,singlecountry
16475,Pegasus laternarius,ANIMALIA,CHORDATA,DD,3996,6,transboundary
16476,Pegasus volitans,ANIMALIA,CHORDATA,DD,63297,34,transboundary
16564,Peponocephala electra,ANIMALIA,CHORDATA,LC,1755210,148,transboundary
17013,Phoca vitulina,ANIMALIA,CHORDATA,LC,68348,22,transboundary
17023,Phoca largha,ANIMALIA,CHORDATA,LC,71377,10,transboundary
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,EN,8773,3,transboundary
17027,Phocoena phocoena,ANIMALIA,CHORDATA,LC,56238,34,transboundary
17028,Phocoena sinus,ANIMALIA,CHORDATA,CR,86,1,singlecountry
17029,Phocoena spinipinnis,ANIMALIA,CHORDATA,NT,9517,5,transboundary
17031,Phocoena phocoena,ANIMALIA,CHORDATA,CR,3957,9,transboundary
17032,Phocoenoides dalli,ANIMALIA,CHORDATA,LC,215859,10,transboundary
17096,Phycodurus eques,ANIMALIA,CHORDATA,LC,5088,1,singlecountry
17177,Phyllopteryx taeniolatus,ANIMALIA,CHORDATA,LC,5651,1,singlecountry
