iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,cell_cutoff,num_countries,xbd
13246,Mesoplodon ginkgodens,ANIMALIA,CHORDATA,DD,1072255,53612.75,63,transboundary
13247,Mesoplodon grayi,ANIMALIA,CHORDATA,DD,932712,46635.6,19,transboundary
13248,Mesoplodon hectori,ANIMALIA,CHORDATA,DD,630169,31508.45,18,transboundary
13250,Mesoplodon mirus,ANIMALIA,CHORDATA,DD,364046,18202.3,29,transboundary
13251,Mesoplodon peruvianus,ANIMALIA,CHORDATA,DD,219383,10969.15,12,transboundary
13252,Mesoplodon stejnegeri,ANIMALIA,CHORDATA,DD,77681,3884.05,7,transboundary
13581,Mirounga angustirostris,ANIMALIA,CHORDATA,LC,104159,5207.95,4,transboundary
13583,Mirounga leonina,ANIMALIA,CHORDATA,LC,713065,35653.25,16,transboundary
13653,Monachus monachus,ANIMALIA,CHORDATA,EN,2938,146.9,7,transboundary
13654,Neomonachus schauinslandi,ANIMALIA,CHORDATA,EN,2835,141.75,1,singlecountry
13704,Monodon monoceros,ANIMALIA,CHORDATA,LC,34758,1737.9,7,transboundary
14048,Mycteroperca cidi,ANIMALIA,CHORDATA,DD,1020,51,4,transboundary
14049,Mycteroperca jordani,ANIMALIA,CHORDATA,EN,3025,151.25,1,singlecountry
14050,Mycteroperca microlepis,ANIMALIA,CHORDATA,VU,8794,439.7,3,transboundary
14051,Mycteroperca olfax,ANIMALIA,CHORDATA,VU,187,9.35,1,singlecountry
14052,Mycteroperca prionura,ANIMALIA,CHORDATA,DD,987,49.35,1,singlecountry
14053,Mycteroperca rosacea,ANIMALIA,CHORDATA,LC,2941,147.05,1,singlecountry
14054,Mycteroperca rubra,ANIMALIA,CHORDATA,LC,8021,401.05,29,transboundary
14264,Myxus capensis,ANIMALIA,CHORDATA,LC,1113,55.65,1,singlecountry
14549,Neophoca cinerea,ANIMALIA,CHORDATA,EN,4265,213.25,1,singlecountry
15106,Odobenus rosmarus,ANIMALIA,CHORDATA,VU,67031,3351.55,6,transboundary
15184,Ogilbia galapagosensis,ANIMALIA,CHORDATA,VU,104,5.2,1,singlecountry
15269,Ommatophoca rossii,ANIMALIA,CHORDATA,LC,205055,10252.75,3,transboundary
15419,Orcaella brevirostris,ANIMALIA,CHORDATA,EN,6390,319.5,10,transboundary
15421,Orcinus orca,ANIMALIA,CHORDATA,DD,3531549,176577.45,207,transboundary
15873,Pagrus pagrus,ANIMALIA,CHORDATA,LC,32157,1607.85,40,transboundary
15939,Pandaka pygmaea,ANIMALIA,CHORDATA,CR,1186,59.3,2,transboundary
16011,Favonigobius melanobranchus,ANIMALIA,CHORDATA,LR/nt,66357,3317.85,30,transboundary
16012,Favonigobius reichei,ANIMALIA,CHORDATA,LC,45396,2269.8,31,transboundary
16474,Pegasus lancifer,ANIMALIA,CHORDATA,LC,7576,378.8,1,singlecountry
16475,Pegasus laternarius,ANIMALIA,CHORDATA,DD,3996,199.8,6,transboundary
16476,Pegasus volitans,ANIMALIA,CHORDATA,DD,63297,3164.85,31,transboundary
16564,Peponocephala electra,ANIMALIA,CHORDATA,LC,1755210,87760.5,145,transboundary
17013,Phoca vitulina,ANIMALIA,CHORDATA,LC,68348,3417.4,21,transboundary
17023,Phoca largha,ANIMALIA,CHORDATA,LC,71377,3568.85,9,transboundary
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,EN,8773,438.65,3,transboundary
17027,Phocoena phocoena,ANIMALIA,CHORDATA,LC,56238,2811.9,33,transboundary
17028,Phocoena sinus,ANIMALIA,CHORDATA,CR,86,4.3,1,singlecountry
17029,Phocoena spinipinnis,ANIMALIA,CHORDATA,NT,9517,475.85,5,transboundary
17031,Phocoena phocoena,ANIMALIA,CHORDATA,CR,3957,197.85,9,transboundary
17032,Phocoenoides dalli,ANIMALIA,CHORDATA,LC,215859,10792.95,9,transboundary
17096,Phycodurus eques,ANIMALIA,CHORDATA,LC,5088,254.4,1,singlecountry
17177,Phyllopteryx taeniolatus,ANIMALIA,CHORDATA,LC,5651,282.55,1,singlecountry
17245,Physiculus helenaensis,ANIMALIA,CHORDATA,DD,360,18,1,singlecountry
18145,Priolepis robinsi,ANIMALIA,CHORDATA,LC,451,22.55,3,transboundary
18374,Protemblemaria punctata,ANIMALIA,CHORDATA,LC,157,7.85,1,singlecountry
18376,Proterorhinus marmoratus,ANIMALIA,CHORDATA,LC,1755,87.75,7,transboundary
18510,Pseudochromis pesi,ANIMALIA,CHORDATA,VU,726,36.3,2,transboundary
18596,Pseudorca crassidens,ANIMALIA,CHORDATA,NT,1939019,96950.95,188,transboundary
19387,Redigobius dewaali,ANIMALIA,CHORDATA,LC,575,28.75,2,transboundary
19388,Redigobius bikolanus,ANIMALIA,CHORDATA,LC,25925,1296.25,31,transboundary
19488,Rhincodon typus,ANIMALIA,CHORDATA,EN,1712952,85647.6,155,transboundary
19798,Parasaccogaster melanomycter,ANIMALIA,CHORDATA,DD,68,3.4,1,singlecountry
19896,Sanopus astrifer,ANIMALIA,CHORDATA,VU,157,7.85,1,singlecountry
19897,Sanopus greenfieldorum,ANIMALIA,CHORDATA,VU,88,4.4,1,singlecountry
19898,Sanopus reticulatus,ANIMALIA,CHORDATA,EN,37,1.85,1,singlecountry
19899,Sanopus splendidus,ANIMALIA,CHORDATA,EN,40,2,2,transboundary
19950,Scarus guacamaia,ANIMALIA,CHORDATA,NT,7491,374.55,33,transboundary
20047,Scomberomorus concolor,ANIMALIA,CHORDATA,VU,2857,142.85,2,transboundary
20314,Solegnathus dunckeri,ANIMALIA,CHORDATA,DD,1861,93.05,1,singlecountry
20315,Solegnathus hardwickii,ANIMALIA,CHORDATA,DD,36213,1810.65,9,transboundary
20316,Solegnathus lettiensis,ANIMALIA,CHORDATA,DD,12810,640.5,4,transboundary
20317,Solegnathus robustus,ANIMALIA,CHORDATA,LC,494,24.7,1,singlecountry
20318,Solegnathus spinosissimus,ANIMALIA,CHORDATA,DD,6825,341.25,2,transboundary
20425,Sousa teuszii,ANIMALIA,CHORDATA,CR,1755,87.75,19,transboundary
20724,Stegastes sanctaehelenae,ANIMALIA,CHORDATA,LC,5,0.25,1,singlecountry
20729,Stenella attenuata,ANIMALIA,CHORDATA,LC,2090455,104522.75,160,transboundary
20730,Stenella clymene,ANIMALIA,CHORDATA,LC,296403,14820.15,65,transboundary
