species_id,sciname,kingdom,phylum,class,tot_count_cells,num_countries,xbd
W-Msc-506965,Spondylus multimuricatus,Animalia,Mollusca,Bivalvia,40060,20,transboundary
W-Msc-506989,Cyrtopleura lanceolata,Animalia,Mollusca,Bivalvia,225,1,singlecountry
W-Msc-507009,Parapholas californica,Animalia,Mollusca,Bivalvia,771,2,transboundary
W-Msc-507013,Penitella penita,Animalia,Mollusca,Bivalvia,1949,3,transboundary
W-Msc-507030,Pholas orientalis,Animalia,Mollusca,Bivalvia,61170,53,transboundary
W-Msc-507043,Xylophaga clenchi,Animalia,Mollusca,Bivalvia,66839,48,transboundary
W-Msc-507055,Malleus malleus,Animalia,Mollusca,Bivalvia,80793,66,transboundary
W-Msc-507057,Malleus albus,Animalia,Mollusca,Bivalvia,78028,60,transboundary
W-Msc-507139,Gari californica,Animalia,Mollusca,Bivalvia,5417,3,transboundary
W-Msc-507152,Gari pulcherrima,Animalia,Mollusca,Bivalvia,37674,44,transboundary
W-Msc-507153,Gari togata,Animalia,Mollusca,Bivalvia,38877,23,transboundary
W-Msc-507158,Gari occidens,Animalia,Mollusca,Bivalvia,36771,26,transboundary
W-Msc-507162,Gari solida,Animalia,Mollusca,Bivalvia,2122,2,transboundary
W-Msc-507164,Gari squamosa,Animalia,Mollusca,Bivalvia,74053,51,transboundary
W-Msc-507166,Gari truncata,Animalia,Mollusca,Bivalvia,82496,52,transboundary
W-Msc-507177,Gari pusilla,Animalia,Mollusca,Bivalvia,28074,29,transboundary
W-Msc-507186,Heteroglypta contraria,Animalia,Mollusca,Bivalvia,54636,33,transboundary
W-Msc-507210,Soletellina diphos,Animalia,Mollusca,Bivalvia,22276,23,transboundary
W-Msc-507263,Iacra japonica,Animalia,Mollusca,Bivalvia,65,1,singlecountry
W-Msc-507280,Rochefortina sandwichensis,Animalia,Mollusca,Bivalvia,10425,28,transboundary
W-Msc-507285,Semele australis,Animalia,Mollusca,Bivalvia,45620,66,transboundary
W-Msc-507301,Semele casta,Animalia,Mollusca,Bivalvia,38729,28,transboundary
W-Msc-507304,Semele duplicata,Animalia,Mollusca,Bivalvia,29998,21,transboundary
W-Msc-507316,Semele rubropicta,Animalia,Mollusca,Bivalvia,1673,2,transboundary
W-Msc-507346,Solecurtus divaricatus,Animalia,Mollusca,Bivalvia,61388,36,transboundary
W-Msc-507364,Tagelus dombeii,Animalia,Mollusca,Bivalvia,2876,5,transboundary
W-Msc-507438,Ameghinomya antiqua,Animalia,Mollusca,Bivalvia,4015,5,transboundary
