species_id,sciname,kingdom,phylum,class,tot_count_cells,num_eez,xbd,category,tax_group,eez_bins_2
133642,Acanthastrea hemprichii,ANIMALIA,CNIDARIA,ANTHOZOA,50530,42,transboundary,VU,Invertebrate,"[25,51)"
133643,Goniopora sultani,ANIMALIA,CNIDARIA,ANTHOZOA,2318,6,transboundary,LC,Invertebrate,"[3,10)"
133644,Acropora formosa,ANIMALIA,CNIDARIA,ANTHOZOA,73391,66,transboundary,NT,Invertebrate,"[51,221]"
133645,Porites somaliensis,ANIMALIA,CNIDARIA,ANTHOZOA,1730,12,transboundary,NT,Invertebrate,"[10,25)"
133646,Montipora verrucosa,ANIMALIA,CNIDARIA,ANTHOZOA,72527,69,transboundary,LC,Invertebrate,"[51,221]"
133647,Acropora polystoma,ANIMALIA,CNIDARIA,ANTHOZOA,60779,43,transboundary,VU,Invertebrate,"[25,51)"
133648,Cyphastrea microphthalma,ANIMALIA,CNIDARIA,ANTHOZOA,76753,68,transboundary,LC,Invertebrate,"[51,221]"
133649,Acropora abrotanoides,ANIMALIA,CNIDARIA,ANTHOZOA,69146,59,transboundary,LC,Invertebrate,"[51,221]"
133650,Favites paraflexuosa,ANIMALIA,CNIDARIA,ANTHOZOA,37547,34,transboundary,NT,Invertebrate,"[25,51)"
133651,Platygyra lamellina,ANIMALIA,CNIDARIA,ANTHOZOA,74214,61,transboundary,NT,Invertebrate,"[51,221]"
133652,Leptastrea transversa,ANIMALIA,CNIDARIA,ANTHOZOA,76189,70,transboundary,LC,Invertebrate,"[51,221]"
133653,Isopora cylindrica,ANIMALIA,CNIDARIA,ANTHOZOA,4047,3,transboundary,DD,Invertebrate,"[3,10)"
133654,Favites chinensis,ANIMALIA,CNIDARIA,ANTHOZOA,67034,58,transboundary,NT,Invertebrate,"[51,221]"
133655,Acropora akajimensis,ANIMALIA,CNIDARIA,ANTHOZOA,4305,6,transboundary,DD,Invertebrate,"[3,10)"
133656,Echinophyllia costata,ANIMALIA,CNIDARIA,ANTHOZOA,23594,8,transboundary,VU,Invertebrate,"[3,10)"
133657,Solenastrea bournoni,ANIMALIA,CNIDARIA,ANTHOZOA,8730,33,transboundary,LC,Invertebrate,"[25,51)"
133658,Acropora bifurcata,ANIMALIA,CNIDARIA,ANTHOZOA,34316,22,transboundary,DD,Invertebrate,"[10,25)"
133659,Stylophora kuehlmanni,ANIMALIA,CNIDARIA,ANTHOZOA,3447,9,transboundary,LC,Invertebrate,"[3,10)"
133660,Isopora cuneata,ANIMALIA,CNIDARIA,ANTHOZOA,49016,45,transboundary,VU,Invertebrate,"[25,51)"
133661,Acropora echinata,ANIMALIA,CNIDARIA,ANTHOZOA,48278,37,transboundary,VU,Invertebrate,"[25,51)"
133662,Galaxea fascicularis,ANIMALIA,CNIDARIA,ANTHOZOA,75058,65,transboundary,NT,Invertebrate,"[51,221]"
133663,Madracis decactis,ANIMALIA,CNIDARIA,ANTHOZOA,12582,50,transboundary,LC,Invertebrate,"[25,51)"
133664,Pachyseris involuta,ANIMALIA,CNIDARIA,ANTHOZOA,1069,2,transboundary,VU,Invertebrate,"[2,3)"
133665,Goniastrea thecata,ANIMALIA,CNIDARIA,ANTHOZOA,3025,8,transboundary,NT,Invertebrate,"[3,10)"
133666,Acropora millepora,ANIMALIA,CNIDARIA,ANTHOZOA,65916,45,transboundary,NT,Invertebrate,"[25,51)"
133667,Craterestrea levis,ANIMALIA,CNIDARIA,ANTHOZOA,528,3,transboundary,LC,Invertebrate,"[3,10)"
133668,Goniopora stokesi,ANIMALIA,CNIDARIA,ANTHOZOA,71772,52,transboundary,NT,Invertebrate,"[51,221]"
133669,Cyphastrea decadia,ANIMALIA,CNIDARIA,ANTHOZOA,37581,22,transboundary,LC,Invertebrate,"[10,25)"
133670,Micromussa minuta,ANIMALIA,CNIDARIA,ANTHOZOA,26510,13,transboundary,NT,Invertebrate,"[10,25)"
