iucn_sid,sciname,category,kingdom,phylum,class
11143,Lagenorhynchus australis,LC,ANIMALIA,CHORDATA,MAMMALIA
11144,Lagenorhynchus cruciger,LC,ANIMALIA,CHORDATA,MAMMALIA
11145,Lagenorhynchus obliquidens,LC,ANIMALIA,CHORDATA,MAMMALIA
11146,Lagenorhynchus obscurus,LC,ANIMALIA,CHORDATA,MAMMALIA
11150,Lagocephalus gloveri,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
11200,Lamna nasus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
11501,Lentipes concolor,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
11534,Lepidochelys olivacea,VU,ANIMALIA,CHORDATA,REPTILIA
11696,Leptonychotes weddellii,LC,ANIMALIA,CHORDATA,MAMMALIA
12125,Lissodelphis borealis,LC,ANIMALIA,CHORDATA,MAMMALIA
12126,Lissodelphis peronii,LC,ANIMALIA,CHORDATA,MAMMALIA
12137,Lithognathus lithognathus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
12244,Liza luciae,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
12246,Lobodon carcinophaga,LC,ANIMALIA,CHORDATA,MAMMALIA
12302,Lontra canadensis,LC,ANIMALIA,CHORDATA,MAMMALIA
12303,Lontra felina,EN,ANIMALIA,CHORDATA,MAMMALIA
12305,Lontra provocax,EN,ANIMALIA,CHORDATA,MAMMALIA
12416,Lutjanus analis,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
12417,Lutjanus cyanopterus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
12419,Lutra lutra,NT,ANIMALIA,CHORDATA,MAMMALIA
12421,Lutra sumatrana,EN,ANIMALIA,CHORDATA,MAMMALIA
12427,Lutrogale perspicillata,VU,ANIMALIA,CHORDATA,MAMMALIA
13006,Megaptera novaeangliae,LC,ANIMALIA,CHORDATA,MAMMALIA
13145,Menidia conchorum,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
13232,Mesogobius batrachocephalus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
13241,Mesoplodon bidens,DD,ANIMALIA,CHORDATA,MAMMALIA
13244,Mesoplodon densirostris,DD,ANIMALIA,CHORDATA,MAMMALIA
13245,Mesoplodon europaeus,DD,ANIMALIA,CHORDATA,MAMMALIA
13246,Mesoplodon ginkgodens,DD,ANIMALIA,CHORDATA,MAMMALIA
13247,Mesoplodon grayi,DD,ANIMALIA,CHORDATA,MAMMALIA
13248,Mesoplodon hectori,DD,ANIMALIA,CHORDATA,MAMMALIA
13250,Mesoplodon mirus,DD,ANIMALIA,CHORDATA,MAMMALIA
13251,Mesoplodon peruvianus,DD,ANIMALIA,CHORDATA,MAMMALIA
13252,Mesoplodon stejnegeri,DD,ANIMALIA,CHORDATA,MAMMALIA
13581,Mirounga angustirostris,LC,ANIMALIA,CHORDATA,MAMMALIA
13583,Mirounga leonina,LC,ANIMALIA,CHORDATA,MAMMALIA
13653,Monachus monachus,EN,ANIMALIA,CHORDATA,MAMMALIA
