iucn_spp_group,iucn_sid,class,iucn_sciname,am_sid,am_sciname,am_reviewed,am_sid_old,kingdom,redlist_category,iucn_sid_other
MARINE_MAMMALS,10708,Mammalia,Hyperoodon planifrons,ITS-Mam-180505,Hyperoodon planifrons,1,NA,ANIMALIA,LC,10708
MARINE_MAMMALS,11048,Mammalia,Kogia sima,ITS-Mam-180492,Kogia sima,1,NA,ANIMALIA,DD,11048
WRASSE,11130,Actinopterygii,Lachnolaimus maximus,Fis-23577,Lachnolaimus maximus,NA,NA,ANIMALIA,VU,11130
MARINE_MAMMALS,11140,Mammalia,Lagenodelphis hosei,ITS-Mam-180440,Lagenodelphis hosei,1,NA,ANIMALIA,LC,11140
MARINE_MAMMALS,11141,Mammalia,Lagenorhynchus acutus,ITS-Mam-180443,Lagenorhynchus acutus,1,NA,ANIMALIA,LC,11141
MARINE_MAMMALS,11142,Mammalia,Lagenorhynchus albirostris,ITS-Mam-180442,Lagenorhynchus albirostris,1,NA,ANIMALIA,LC,11142
MARINE_MAMMALS,11143,Mammalia,Lagenorhynchus australis,ITS-Mam-180446,Lagenorhynchus australis,1,NA,ANIMALIA,LC,11143
MARINE_MAMMALS,11144,Mammalia,Lagenorhynchus cruciger,ITS-Mam-180447,Lagenorhynchus cruciger,1,NA,ANIMALIA,LC,11144
MARINE_MAMMALS,11145,Mammalia,Lagenorhynchus obliquidens,ITS-Mam-180444,Lagenorhynchus obliquidens,1,NA,ANIMALIA,LC,11145
MARINE_MAMMALS,11146,Mammalia,Lagenorhynchus obscurus,ITS-Mam-180445,Lagenorhynchus obscurus,1,NA,ANIMALIA,LC,11146
PUFFERFISH,11150,Actinopterygii,Lagocephalus gloveri,Fis-34000,Lagocephalus gloveri,NA,NA,ANIMALIA,DD,11150
REPTILES,11534,Reptilia,Lepidochelys olivacea,Rep-6936,Lepidochelys olivacea,1,NA,ANIMALIA,VU,11534
MARINE_MAMMALS,11696,Mammalia,Leptonychotes weddellii,ITS-Mam-180669,Leptonychotes weddellii,1,NA,ANIMALIA,LC,11696
MARINE_MAMMALS,12125,Mammalia,Lissodelphis borealis,ITS-Mam-180454,Lissodelphis borealis,1,NA,ANIMALIA,LC,12125
SEABREAMS_PORGIES,12137,Actinopterygii,Lithognathus lithognathus,Fis-23176,Lithognathus lithognathus,NA,NA,ANIMALIA,EN,12137
MARINE_MAMMALS,12246,Mammalia,Lobodon carcinophaga,ITS-Mam-622023,Lobodon carcinophaga,1,NA,ANIMALIA,LC,12246
TERRESTRIAL_MAMMALS,12419,Mammalia,Lutra lutra,ITS-Mam-621916,Lutra lutra,NA,NA,ANIMALIA,NT,12419
MARINE_MAMMALS,13006,Mammalia,Megaptera novaeangliae,ITS-Mam-180530,Megaptera novaeangliae,1,NA,ANIMALIA,LC,13006
MARINE_MAMMALS,13241,Mammalia,Mesoplodon bidens,ITS-Mam-180515,Mesoplodon bidens,1,NA,ANIMALIA,DD,13241
MARINE_MAMMALS,13243,Mammalia,Mesoplodon carlhubbsi,ITS-Mam-180512,Mesoplodon carlhubbsi,1,NA,ANIMALIA,DD,13243
MARINE_MAMMALS,13245,Mammalia,Mesoplodon europaeus,ITS-Mam-180509,Mesoplodon europaeus,1,NA,ANIMALIA,DD,13245
