kingdom,phylum,class_iucn,iucn_sid,iucn_sciname,iucn_sid_other,redlist_category,am_sid,am_sciname,class_am,am_sid_old
ANIMALIA,Chordata,Actinopterygii,183838,Gillellus searcheri,NA,LC,Fis-113480,Gillellus searcheri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184012,Gillellus semicinctus,NA,LC,Fis-113495,Gillellus semicinctus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183396,Heteristius cinctus,NA,LC,Fis-113497,Heteristius cinctus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183705,Platygillellus altivelis,NA,NT,Fis-113503,Platygillellus altivelis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183694,Platygillellus bussingi,NA,NT,Fis-113504,Platygillellus bussingi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183764,Exerpes asper,NA,LC,Fis-113505,Exerpes asper,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183420,Malacoctenus ebisui,NA,LC,Fis-113513,Malacoctenus ebisui,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183701,Paraclinus sini,NA,LC,Fis-113545,Paraclinus sini,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183654,Paraclinus tanygnathus,NA,LC,Fis-113546,Paraclinus tanygnathus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183804,Starksia fulva,NA,LC,Fis-113548,Starksia fulva,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183853,Starksia galapagensis,NA,VU,Fis-113550,Starksia galapagensis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183730,Starksia spinipenis,NA,LC,Fis-113553,Starksia spinipenis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183727,Xenomedea rhodopyga,NA,LC,Fis-113558,Xenomedea rhodopyga,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183400,Acanthemblemaria balanorum,NA,LC,Fis-113559,Acanthemblemaria balanorum,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183505,Acanthemblemaria crockeri,NA,LC,Fis-113560,Acanthemblemaria crockeri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183629,Acanthemblemaria exilispinus,NA,LC,Fis-113577,Acanthemblemaria exilispinus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183841,Acanthemblemaria hancocki,NA,LC,Fis-113583,Acanthemblemaria hancocki,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183219,Acanthemblemaria macrospilus,NA,LC,Fis-113588,Acanthemblemaria macrospilus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183500,Chaenopsis deltarrhis,NA,DD,Fis-113601,Chaenopsis deltarrhis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183952,Coralliozetus micropes,NA,LC,Fis-113607,Coralliozetus micropes,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183851,Coralliozetus rosenblatti,NA,LC,Fis-113613,Coralliozetus rosenblatti,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183319,Coralliozetus springeri,NA,LC,Fis-113620,Coralliozetus springeri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183655,Malacoctenus hubbsi,NA,LC,Fis-113633,Malacoctenus hubbsi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183605,Ekemblemaria myersi,NA,LC,Fis-113645,Ekemblemaria myersi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183699,Emblemaria hypacanthus,NA,LC,Fis-113667,Emblemaria hypacanthus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183676,Emblemaria nivipes,NA,DD,Fis-113669,Emblemaria nivipes,Actinopterygii,NA
