species_id,sciname,kingdom,phylum,class
Chn-46f58c2c-1280-4f6a-a148-e854c19246fe,Harpilius lutescens,Animalia,Arthropoda,Malacostraca
Chn-4a9f789f-84e4-4da2-b520-c754b804a303,Savignium crenatum,Animalia,Arthropoda,Maxillopoda
Chn-4afd695c-a184-4f35-a646-3149013fa0df,Faughnia haani,Animalia,Arthropoda,Malacostraca
Chn-4bb55db1-8e3b-4bc9-abaa-a75c12d10a05,Cloridina chlorida,Animalia,Arthropoda,Malacostraca
Chn-50674f31-94c6-4080-8563-c0598269f6d2,Oligometra serripinna,Animalia,Echinodermata,Crinoidea
Chn-54b47037-ffc8-43f2-9240-02c68005b67f,Comatula solaris,Animalia,Echinodermata,Crinoidea
Chn-57dc42d6-4e69-482a-84d4-07c811a271b5,Comaster multibrachiatus,Animalia,Echinodermata,Crinoidea
Chn-58fbf663-c32a-4053-b54d-872ad5bbd716,Erugosquilla grahami,Animalia,Arthropoda,Malacostraca
Chn-5b98a280-b9a0-435b-8ed9-87b3f63fc29b,Periclimenella spinifera,Animalia,Arthropoda,Malacostraca
Chn-6929b281-e864-4382-b249-e58077762c8d,Kempella mikado,Animalia,Arthropoda,Malacostraca
Chn-6a9274ff-bb5b-4de5-a3d4-201629e153fe,Oratosquillina gravieri,Animalia,Arthropoda,Malacostraca
Chn-718abbd7-9991-4548-92ea-32318d7e3ae0,Cervimunida princeps,Animalia,Arthropoda,Malacostraca
Chn-7292168a-7e48-49d8-8b1c-01144f18309b,Prionalpheus triarticulatus,Animalia,Arthropoda,Malacostraca
Chn-7654496e-c4b4-480a-8684-3d9234fa4807,Strigopagurus boreonotus,Animalia,Arthropoda,Malacostraca
Chn-7ac3e7f2-391a-4345-9f5b-7df40d8e9913,Porcellanella triloba,Animalia,Arthropoda,Malacostraca
Chn-7f0774f3-5b42-4ba3-a812-0023f32acd55,Nobia grandis,Animalia,Arthropoda,Maxillopoda
Chn-7f58b835-f87e-41a2-91bb-9245ab8b9664,Striatobalanus tenuis,Animalia,Arthropoda,Maxillopoda
Chn-8015f4b9-d98d-4eea-960c-ecf42e0e3eb4,Cloridina verrucosa,Animalia,Arthropoda,Malacostraca
Chn-82852781-608a-4506-a2fb-97671317e21d,Carinosquilla carinata,Animalia,Arthropoda,Malacostraca
Chn-8980a45f-d7dd-4f06-9dfb-9bb28ae994ac,Levisquilla inermis,Animalia,Arthropoda,Malacostraca
Chn-89c7a40d-e85d-4708-864b-4c0f155cbe9f,Harpiosquilla japonica,Animalia,Arthropoda,Malacostraca
Chn-8cc778cc-b690-4f20-900d-5c6e34860c1b,Gelastocaris paronae,Animalia,Arthropoda,Malacostraca
Chn-8e285e99-84b2-4d54-b966-a6e88108a5a5,Allogalathea elegans,Animalia,Arthropoda,Malacostraca
Chn-8fe3ea49-27ab-42eb-a532-672122ccd637,Sinosquilla sinica,Animalia,Arthropoda,Malacostraca
Chn-910529e8-a14d-4b88-9726-ed72edac0bd6,Savignium dentatum,Animalia,Arthropoda,Maxillopoda
Chn-91abc70c-b6ae-49a6-840b-05ea852baff4,Comanthina schlegeli,Animalia,Echinodermata,Crinoidea
Chn-9486b34f-116a-4f90-9c34-5036248600fb,Carinosquilla multicarinata,Animalia,Arthropoda,Malacostraca
Chn-95019cab-ea8c-4f88-8845-07fe7355cf8a,Eudiocrinus indivisus,Animalia,Echinodermata,Crinoidea
Chn-96fbc6f5-e394-47b5-a61c-18bf2cd2bf54,Squilloides leptosquilla,Animalia,Arthropoda,Malacostraca
Chn-989e06a2-4a12-4203-ab29-63f4980177e2,Enosteoides ornatus,Animalia,Arthropoda,Malacostraca
Chn-98e49457-8952-440e-a574-b5bde95cbd5e,Harpiosquilla harpax,Animalia,Arthropoda,Malacostraca
Chn-9c57f873-6f37-475b-b2c8-960bd5a90a96,Eudiocrinus venustulus,Animalia,Echinodermata,Crinoidea
Chn-9e100c7f-ed38-4571-9d2a-678f6d9068c8,Leandrites stenopus,Animalia,Arthropoda,Malacostraca
Chn-9eb0793c-27f0-4979-b8f4-bb1354f21ca1,Faughnia formosae,Animalia,Arthropoda,Malacostraca
Chn-9ef9df3b-6207-4680-8f1a-c503ede801f8,Cyllometra manca,Animalia,Echinodermata,Crinoidea
Chn-a950d9ab-57f4-46c8-899c-f432262701d4,Spiropagurus spiriger,Animalia,Arthropoda,Malacostraca
Chn-ad8809bb-42d3-4efb-9e18-86438763254f,Manningia australiensis,Animalia,Arthropoda,Malacostraca
Chn-ada48df7-2439-4cc7-90ad-92bebf5d5407,Neometra alecto,Animalia,Echinodermata,Crinoidea
Chn-ae156111-0d32-4a94-8720-9d7733c99831,Birgus latro,Animalia,Arthropoda,Malacostraca
Chn-ae1e5fbc-a8f3-4769-930f-a9ee579cc61b,Paramunida scabra,Animalia,Arthropoda,Malacostraca
Chn-aeb653ab-6477-483a-bf1e-211cc80a18b3,Anchisquilla fasciata,Animalia,Arthropoda,Malacostraca
Chn-af5aeff7-d489-44d6-829b-33a5aeefe39e,Faughnia serenei,Animalia,Arthropoda,Malacostraca
Chn-b0bf9541-4c48-46f9-9f39-7e472c527992,Haptosquilla glyptocercus,Animalia,Arthropoda,Malacostraca
Chn-b6aab914-ac7d-46e9-aeeb-e00ab2a64a40,Amphimetra laevipinna,Animalia,Echinodermata,Crinoidea
Chn-bc491994-c9e7-4370-9312-38d8eccf4014,Oratosquillina interrupta,Animalia,Arthropoda,Malacostraca
Chn-c03cfb65-01dc-40d6-9859-1dacbb967008,Striatobalanus amaryllis,Animalia,Arthropoda,Maxillopoda
Chn-c0b96bcd-a248-4a2d-ba80-d1c9d13b890b,Lophosquilla costata,Animalia,Arthropoda,Malacostraca
Chn-c41e3e0e-fc12-46eb-a63e-e66e20ec713f,Pyrgoma cancellatum,Animalia,Arthropoda,Maxillopoda
Chn-c52065c0-9805-4194-99b0-c065a99ff036,Shinkaia crosnieri,Animalia,Arthropoda,Malacostraca
Chn-c61bf079-7d77-4066-b959-af45ce76b7c7,Coronidopsis serenei,Animalia,Arthropoda,Malacostraca
Chn-c8256144-85c0-4e67-8d9e-66bddaa9fc7c,Catoptometra magnifica,Animalia,Echinodermata,Crinoidea
Chn-d7711d01-207c-4063-b5b0-39ea5a6af39b,Mesacturus furcicaudatus,Animalia,Arthropoda,Malacostraca
Chn-d879fd7e-8358-430b-9b8f-974a10d1a38d,Quollastria gonypetes,Animalia,Arthropoda,Malacostraca
Chn-d99f6747-b64f-4916-8b24-df588e80e148,Galacantha valdiviae,Animalia,Arthropoda,Malacostraca
Chn-dafffb15-39ca-4fb2-b129-51299d9f42a2,Pterometra trichopoda,Animalia,Echinodermata,Crinoidea
Chn-dce6b77a-03cc-433c-84ea-87a6bf910860,Lissoporcellana spinuligera,Animalia,Arthropoda,Malacostraca
Chn-dd8f0e66-32f6-41d8-b6aa-eaca7bf2fff4,Clorida denticauda,Animalia,Arthropoda,Malacostraca
Chn-e255742b-b365-4757-9d21-e0f81f32bfbc,Siamosquilla laevicaudata,Animalia,Arthropoda,Malacostraca
Chn-e2a039b7-163b-4573-a5b0-3950d5824678,Amphibalanus amphitrite,Animalia,Arthropoda,Maxillopoda
Chn-e5f20c3d-2d0d-4256-9f09-7dbb355b4149,Zygometra comata,Animalia,Echinodermata,Crinoidea
Chn-ef0da0c6-5191-4986-8433-7c7da5e62cd3,Harpiosquilla melanoura,Animalia,Arthropoda,Malacostraca
Chn-eff8756a-9d9f-4430-886b-4a0badfed55d,Paralbunea dayriti,Animalia,Arthropoda,Malacostraca
Chn-f031838d-0a64-4288-8d25-04c0ab44ad67,Crosnierita yante,Animalia,Arthropoda,Malacostraca
Chn-f032dfea-b70b-431e-a2d5-9540e96a5263,Chorisquilla pococki,Animalia,Arthropoda,Malacostraca
Chn-f0468771-49d3-4d4b-a479-b094f979105b,Lissoporcellana streptochiroides,Animalia,Arthropoda,Malacostraca
Chn-f3828601-b430-4ef9-bed4-072a275b42fa,Paramunida proxima,Animalia,Arthropoda,Malacostraca
Chn-f41af29f-5e40-4cb4-8862-220e6e64b329,Michelopagurus limatulus,Animalia,Arthropoda,Malacostraca
Chn-f530af20-5532-4197-9324-3417559a8a5e,Fallosquilla fallax,Animalia,Arthropoda,Malacostraca
Chn-fb2dd6bd-a63d-4bf0-9ba2-c98db8474306,Lamprometra palmata,Animalia,Echinodermata,Crinoidea
Chn-fe4cfc67-6edb-4c41-81d4-41b7ec6a8391,Laomedia astacina,Animalia,Arthropoda,Malacostraca
Cla-29190,Penilia avirostris,Animalia,Arthropoda,Branchiopoda
Fis-10199,Pseudanthias evansi,Animalia,Chordata,Actinopterygii
Fis-10312,Parupeneus macronemus,Animalia,Chordata,Actinopterygii
Fis-10405,Jaydia queketti,Animalia,Chordata,Actinopterygii
Fis-10407,Apogonichthyoides nigripinnis,Animalia,Chordata,Actinopterygii
Fis-10471,Ellochelon vaigiensis,Animalia,Chordata,Actinopterygii
Fis-10690,Apodichthys fucorum,Animalia,Chordata,Actinopterygii
Fis-10767,Asterorhombus intermedius,Animalia,Chordata,Actinopterygii
Fis-10768,Glyptocephalus zachirus,Animalia,Chordata,Actinopterygii
Fis-10896,Coelorinchus occa,Animalia,Chordata,Actinopterygii
Fis-10903,Coelorinchus canus,Animalia,Chordata,Actinopterygii
Fis-10950,Parascorpaena picta,Animalia,Chordata,Actinopterygii
Fis-10975,Brachirus orientalis,Animalia,Chordata,Actinopterygii
Fis-10984,Haemulon maculicauda,Animalia,Chordata,Actinopterygii
Fis-1099,Sarda lineolata,Animalia,Chordata,Actinopterygii
Fis-10993,Scorpaena mystes,Animalia,Chordata,Actinopterygii
Fis-11214,Arnoglossus macrolophus,Animalia,Chordata,Actinopterygii
Fis-112180,Heteroconger klausewitzi,Animalia,Chordata,Actinopterygii
Fis-112194,Brotula ordwayi,Animalia,Chordata,Actinopterygii
Fis-112197,Ogilbia deroyi,Animalia,Chordata,Actinopterygii
Fis-11256,Limanda aspera,Animalia,Chordata,Actinopterygii
Fis-112580,Prionotus beanii,Animalia,Chordata,Actinopterygii
Fis-112582,Peristedion truncatum,Animalia,Chordata,Actinopterygii
Fis-112590,Peristedion ecuadorense,Animalia,Chordata,Actinopterygii
Fis-112634,Bathysolea polli,Animalia,Chordata,Actinopterygii
Fis-112639,Bathysolea lagarderae,Animalia,Chordata,Actinopterygii
Fis-112688,Pontinus helena,Animalia,Chordata,Actinopterygii
Fis-112689,Scorpaena agassizii,Animalia,Chordata,Actinopterygii
Fis-112702,Laemonema robustum,Animalia,Chordata,Actinopterygii
Fis-112703,Lepidion guentheri,Animalia,Chordata,Actinopterygii
Fis-112706,Bellator ribeiroi,Animalia,Chordata,Actinopterygii
Fis-112710,Holcomycteronus squamosus,Animalia,Chordata,Actinopterygii
Fis-112716,Bidenichthys consobrinus,Animalia,Chordata,Actinopterygii
Fis-112720,Haplocylix littoreus,Animalia,Chordata,Actinopterygii
Fis-112726,Gastroscyphus hectoris,Animalia,Chordata,Actinopterygii
Fis-112746,Trachelochismus pinnulatus,Animalia,Chordata,Actinopterygii
Fis-112752,Diplocrepis puniceus,Animalia,Chordata,Actinopterygii
Fis-112758,Gastrocyathus gracilis,Animalia,Chordata,Actinopterygii
Fis-112761,Trachelochismus melobesia,Animalia,Chordata,Actinopterygii
Fis-112766,Dellichthys morelandi,Animalia,Chordata,Actinopterygii
Fis-112772,Gobiopsis atrata,Animalia,Chordata,Actinopterygii
Fis-112789,Notoclinops caerulepunctus,Animalia,Chordata,Actinopterygii
Fis-112790,Notoclinops segmentatus,Animalia,Chordata,Actinopterygii
Fis-112792,Cryptichthys jojettae,Animalia,Chordata,Actinopterygii
Fis-112793,Bellapiscis medius,Animalia,Chordata,Actinopterygii
Fis-112797,Gobius ater,Animalia,Chordata,Actinopterygii
Fis-112799,Ruanoho decemdigitatus,Animalia,Chordata,Actinopterygii
Fis-112801,Gobius bucchichi,Animalia,Chordata,Actinopterygii
Fis-112804,Gobius roulei,Animalia,Chordata,Actinopterygii
Fis-112805,Gobius vittatus,Animalia,Chordata,Actinopterygii
Fis-112813,Cynoscion similis,Animalia,Chordata,Actinopterygii
Fis-112814,Echiodon dentatus,Animalia,Chordata,Actinopterygii
Fis-112819,Scorpaenodes arenai,Animalia,Chordata,Actinopterygii
Fis-112822,Bathyclupea argentea,Animalia,Chordata,Actinopterygii
Fis-112823,Pseudoscopelus scriptus,Animalia,Chordata,Actinopterygii
Fis-112833,Apopterygion alta,Animalia,Chordata,Actinopterygii
Fis-112843,Apopterygion oculus,Animalia,Chordata,Actinopterygii
Fis-112881,Forsterygion malcolmi,Animalia,Chordata,Actinopterygii
Fis-112883,Karalepis stewarti,Animalia,Chordata,Actinopterygii
Fis-112889,Snyderina guentheri,Animalia,Chordata,Actinopterygii
Fis-112891,Minous dempsterae,Animalia,Chordata,Actinopterygii
Fis-112892,Minous inermis,Animalia,Chordata,Actinopterygii
Fis-112893,Kumococius rodericensis,Animalia,Chordata,Actinopterygii
Fis-112894,Sorsogona melanoptera,Animalia,Chordata,Actinopterygii
Fis-112898,Sorsogona nigripinna,Animalia,Chordata,Actinopterygii
Fis-112899,Cirrhitichthys calliurus,Animalia,Chordata,Actinopterygii
Fis-112901,Parupeneus margaritatus,Animalia,Chordata,Actinopterygii
Fis-112902,Upeneus pori,Animalia,Chordata,Actinopterygii
Fis-112905,Moolgarda pedaraki,Animalia,Chordata,Actinopterygii
Fis-112910,Pomadasys punctulatus,Animalia,Chordata,Actinopterygii
Fis-112915,Callionymus carebares,Animalia,Chordata,Actinopterygii
Fis-112916,Callionymus erythraeus,Animalia,Chordata,Actinopterygii
Fis-112918,Callionymus hindsii,Animalia,Chordata,Actinopterygii
Fis-112933,Diplogrammus pygmaeus,Animalia,Chordata,Actinopterygii
Fis-112941,Callogobius bifasciatus,Animalia,Chordata,Actinopterygii
Fis-112946,Coryogalops adamsoni,Animalia,Chordata,Actinopterygii
Fis-112956,Coryogalops anomolus,Animalia,Chordata,Actinopterygii
Fis-112980,Cryptocentroides arabicus,Animalia,Chordata,Actinopterygii
Fis-112982,Eviota pardalota,Animalia,Chordata,Actinopterygii
Fis-112985,Gobiodon reticulatus,Animalia,Chordata,Actinopterygii
Fis-113002,Lobulogobius omanensis,Animalia,Chordata,Actinopterygii
Fis-113003,Gobiopsis canalis,Animalia,Chordata,Actinopterygii
Fis-113005,Palutrus meteori,Animalia,Chordata,Actinopterygii
Fis-113007,Priolepis randalli,Animalia,Chordata,Actinopterygii
Fis-113054,Uranoscopus dollfusi,Animalia,Chordata,Actinopterygii
Fis-113062,Parapercis maculata,Animalia,Chordata,Actinopterygii
Fis-113070,Bathygobius meggitti,Animalia,Chordata,Actinopterygii
Fis-113074,Canthidermis macrolepis,Animalia,Chordata,Actinopterygii
Fis-113082,Thamnaconus melanoproctes,Animalia,Chordata,Actinopterygii
Fis-113085,Pseudanthias townsendi,Animalia,Chordata,Actinopterygii
Fis-113108,Holapogon maximus,Animalia,Chordata,Actinopterygii
Fis-113149,Callionymus margaretae,Animalia,Chordata,Actinopterygii
Fis-113153,Ogilbia ventralis,Animalia,Chordata,Actinopterygii
Fis-113158,Arcos erythrops,Animalia,Chordata,Actinopterygii
Fis-113162,Arcos rhodospilus,Animalia,Chordata,Actinopterygii
Fis-113165,Gobiesox adustus,Animalia,Chordata,Actinopterygii
Fis-113181,Pseudochromis andamanensis,Animalia,Chordata,Actinopterygii
Fis-113182,Pseudochromis elongatus,Animalia,Chordata,Actinopterygii
Fis-113184,Rhabdamia nigrimentum,Animalia,Chordata,Actinopterygii
Fis-113210,Trichonotus halstead,Animalia,Chordata,Actinopterygii
Fis-113235,Pseudanthias olivaceus,Animalia,Chordata,Actinopterygii
Fis-113258,Parapercis colemani,Animalia,Chordata,Actinopterygii
Fis-113272,Amblyeleotris yanoi,Animalia,Chordata,Actinopterygii
Fis-113283,Amblyeleotris masuii,Animalia,Chordata,Actinopterygii
Fis-113287,Psilogobius mainlandi,Animalia,Chordata,Actinopterygii
Fis-113288,Phthanophaneron harveyi,Animalia,Chordata,Actinopterygii
Fis-113302,Axoclinus cocoensis,Animalia,Chordata,Actinopterygii
Fis-113313,Axoclinus lucillae,Animalia,Chordata,Actinopterygii
Fis-113326,Axoclinus nigricaudus,Animalia,Chordata,Actinopterygii
Fis-113332,Bellapiscis lesleyae,Animalia,Chordata,Actinopterygii
Fis-113384,Lonchopisthus sinuscalifornicus,Animalia,Chordata,Actinopterygii
Fis-113413,Eucinostomus dowii,Animalia,Chordata,Actinopterygii
Fis-113426,Apogon retrosella,Animalia,Chordata,Actinopterygii
Fis-113429,Apogon atricaudus,Animalia,Chordata,Actinopterygii
Fis-113438,Crocodilichthys gracilis,Animalia,Chordata,Actinopterygii
Fis-113441,Enneanectes reticulatus,Animalia,Chordata,Actinopterygii
Fis-113453,Lepidonectes clarkhubbsi,Animalia,Chordata,Actinopterygii
Fis-113462,Dactyloscopus pectoralis,Animalia,Chordata,Actinopterygii
Fis-113467,Gillellus arenicola,Animalia,Chordata,Actinopterygii
Fis-113480,Gillellus searcheri,Animalia,Chordata,Actinopterygii
Fis-113495,Gillellus semicinctus,Animalia,Chordata,Actinopterygii
Fis-113497,Heteristius cinctus,Animalia,Chordata,Actinopterygii
Fis-113503,Platygillellus altivelis,Animalia,Chordata,Actinopterygii
Fis-113504,Platygillellus bussingi,Animalia,Chordata,Actinopterygii
Fis-113505,Exerpes asper,Animalia,Chordata,Actinopterygii
Fis-113513,Malacoctenus ebisui,Animalia,Chordata,Actinopterygii
Fis-113545,Paraclinus sini,Animalia,Chordata,Actinopterygii
Fis-113546,Paraclinus tanygnathus,Animalia,Chordata,Actinopterygii
Fis-113548,Starksia fulva,Animalia,Chordata,Actinopterygii
Fis-113550,Starksia galapagensis,Animalia,Chordata,Actinopterygii
Fis-113553,Starksia spinipenis,Animalia,Chordata,Actinopterygii
Fis-113558,Xenomedea rhodopyga,Animalia,Chordata,Actinopterygii
Fis-113559,Acanthemblemaria balanorum,Animalia,Chordata,Actinopterygii
Fis-113560,Acanthemblemaria crockeri,Animalia,Chordata,Actinopterygii
Fis-113577,Acanthemblemaria exilispinus,Animalia,Chordata,Actinopterygii
Fis-113583,Acanthemblemaria hancocki,Animalia,Chordata,Actinopterygii
Fis-113588,Acanthemblemaria macrospilus,Animalia,Chordata,Actinopterygii
Fis-113601,Chaenopsis deltarrhis,Animalia,Chordata,Actinopterygii
Fis-113607,Coralliozetus micropes,Animalia,Chordata,Actinopterygii
Fis-113613,Coralliozetus rosenblatti,Animalia,Chordata,Actinopterygii
Fis-113620,Coralliozetus springeri,Animalia,Chordata,Actinopterygii
Fis-113633,Malacoctenus hubbsi,Animalia,Chordata,Actinopterygii
Fis-113645,Ekemblemaria myersi,Animalia,Chordata,Actinopterygii
Fis-113667,Emblemaria hypacanthus,Animalia,Chordata,Actinopterygii
Fis-113669,Emblemaria nivipes,Animalia,Chordata,Actinopterygii
Fis-11367,Coelorinchus acanthiger,Animalia,Chordata,Actinopterygii
Fis-113671,Emblemaria piratica,Animalia,Chordata,Actinopterygii
Fis-113673,Emblemaria walkeri,Animalia,Chordata,Actinopterygii
Fis-113675,Mccoskerichthys sandae,Animalia,Chordata,Actinopterygii
Fis-113679,Enneapterygius niger,Animalia,Chordata,Actinopterygii
Fis-113680,Stathmonotus sinuscalifornici,Animalia,Chordata,Actinopterygii
Fis-11369,Coelorinchus aconcagua,Animalia,Chordata,Actinopterygii
Fis-113698,Enneapterygius atrogulare,Animalia,Chordata,Actinopterygii
Fis-113707,Aruma histrio,Animalia,Chordata,Actinopterygii
Fis-113726,Cerdale ionthas,Animalia,Chordata,Actinopterygii
Fis-113732,Barbulifer pantherinus,Animalia,Chordata,Actinopterygii
Fis-113736,Bollmannia gomezi,Animalia,Chordata,Actinopterygii
Fis-113740,Chriolepis minutillus,Animalia,Chordata,Actinopterygii
Fis-113745,Chriolepis zebra,Animalia,Chordata,Actinopterygii
Fis-113782,Microgobius miraflorensis,Animalia,Chordata,Actinopterygii
Fis-113787,Microgobius tabogensis,Animalia,Chordata,Actinopterygii
Fis-11380,Coelorinchus biclinozonalis,Animalia,Chordata,Actinopterygii
Fis-113814,Parrella maxillaris,Animalia,Chordata,Actinopterygii
Fis-113821,Pycnomma semisquamatum,Animalia,Chordata,Actinopterygii
Fis-113822,Microgobius emblematicus,Animalia,Chordata,Actinopterygii
Fis-113825,Lythrypnus rhizophora,Animalia,Chordata,Actinopterygii
Fis-113838,Lythrypnus pulchellus,Animalia,Chordata,Actinopterygii
Fis-113842,Lythrypnus insularis,Animalia,Chordata,Actinopterygii
Fis-113852,Gobiosoma chiquita,Animalia,Chordata,Actinopterygii
Fis-113878,Gobulus hancocki,Animalia,Chordata,Actinopterygii
Fis-113900,Microgobius erectus,Animalia,Chordata,Actinopterygii
Fis-113904,Microgobius brevispinis,Animalia,Chordata,Actinopterygii
Fis-113908,Elacatinus puncticulatus,Animalia,Chordata,Actinopterygii
Fis-113918,Ceratobregma acanthops,Animalia,Chordata,Actinopterygii
Fis-113923,Ctenogobius sagittula,Animalia,Chordata,Actinopterygii
Fis-113926,Ctenogobius manglicola,Animalia,Chordata,Actinopterygii
Fis-113929,Ceratobregma helenae,Animalia,Chordata,Actinopterygii
Fis-113951,Microgobius cyclolepis,Animalia,Chordata,Actinopterygii
Fis-113956,Microgobius curtus,Animalia,Chordata,Actinopterygii
Fis-113987,Tomicodon boehlkei,Animalia,Chordata,Actinopterygii
Fis-114007,Enneapterygius gracilis,Animalia,Chordata,Actinopterygii
Fis-11401,Coelorinchus kaiyomaru,Animalia,Chordata,Actinopterygii
Fis-11405,Coelorinchus karrerae,Animalia,Chordata,Actinopterygii
Fis-114086,Labichthys yanoi,Animalia,Chordata,Actinopterygii
Fis-114088,Serrivomer samoensis,Animalia,Chordata,Actinopterygii
Fis-114098,Bathophilus filifer,Animalia,Chordata,Actinopterygii
Fis-114103,Enneapterygius kermadecensis,Animalia,Chordata,Actinopterygii
Fis-114108,Bathypterois longicauda,Animalia,Chordata,Actinopterygii
Fis-114109,Bathypterois longifilis,Animalia,Chordata,Actinopterygii
Fis-114110,Enneapterygius larsonae,Animalia,Chordata,Actinopterygii
Fis-114124,Diaphus pacificus,Animalia,Chordata,Actinopterygii
Fis-114131,Gadella norops,Animalia,Chordata,Actinopterygii
Fis-114147,Physiculus therosideros,Animalia,Chordata,Actinopterygii
Fis-114150,Enneapterygius mirabilis,Animalia,Chordata,Actinopterygii
Fis-114152,Coryphaenoides murrayi,Animalia,Chordata,Actinopterygii
Fis-114154,Gadomus aoteanus,Animalia,Chordata,Actinopterygii
Fis-114155,Idiolophorhynchus andriashevi,Animalia,Chordata,Actinopterygii
Fis-114166,Antipodocottus megalops,Animalia,Chordata,Actinopterygii
Fis-114167,Alertichthys blacki,Animalia,Chordata,Actinopterygii
Fis-114170,Scorpaena cardinalis,Animalia,Chordata,Actinopterygii
Fis-114172,Enneapterygius paucifasciatus,Animalia,Chordata,Actinopterygii
Fis-114174,Enneapterygius pyramis,Animalia,Chordata,Actinopterygii
Fis-114177,Phenacoscorpius megalops,Animalia,Chordata,Actinopterygii
Fis-114179,Enneapterygius rhabdotus,Animalia,Chordata,Actinopterygii
Fis-114181,Ectreposebastes niger,Animalia,Chordata,Actinopterygii
Fis-114184,Forsterygion varium,Animalia,Chordata,Actinopterygii
Fis-114187,Mendosoma lineatum,Animalia,Chordata,Actinopterygii
Fis-114188,Ruanoho whero,Animalia,Chordata,Actinopterygii
Fis-114189,Gilloblennius tripennis,Animalia,Chordata,Actinopterygii
Fis-114191,Notoclinus fenestratus,Animalia,Chordata,Actinopterygii
Fis-114193,Notoclinus compressus,Animalia,Chordata,Actinopterygii
Fis-114195,Notoclinops yaldwyni,Animalia,Chordata,Actinopterygii
Fis-114196,Cristiceps aurantiacus,Animalia,Chordata,Actinopterygii
Fis-114197,Ericentrus rubrus,Animalia,Chordata,Actinopterygii
Fis-114201,Notothenia angustata,Animalia,Chordata,Actinopterygii
Fis-114202,Chironemus marmoratus,Animalia,Chordata,Actinopterygii
Fis-114203,Aplodactylus arctidens,Animalia,Chordata,Actinopterygii
Fis-114204,Limnichthys polyactis,Animalia,Chordata,Actinopterygii
Fis-114207,Grahamichthys radiata,Animalia,Chordata,Actinopterygii
Fis-114213,Plectranthias bilaticlavia,Animalia,Chordata,Actinopterygii
Fis-114214,Pempheris compressa,Animalia,Chordata,Actinopterygii
Fis-114217,Cheilodactylus fuscus,Animalia,Chordata,Actinopterygii
Fis-114232,Bembrops morelandi,Animalia,Chordata,Actinopterygii
Fis-114235,Minous longimanus,Animalia,Chordata,Actinopterygii
Fis-114245,Amblyeleotris rhyax,Animalia,Chordata,Actinopterygii
Fis-114246,Amblyeleotris callopareia,Animalia,Chordata,Actinopterygii
Fis-114247,Enneapterygius triserialis,Animalia,Chordata,Actinopterygii
Fis-114251,Enneapterygius tutuilae,Animalia,Chordata,Actinopterygii
Fis-114255,Amblyeleotris latifasciata,Animalia,Chordata,Actinopterygii
Fis-114257,Enneapterygius ziegleri,Animalia,Chordata,Actinopterygii
Fis-114270,Forsterygion flavonigrum,Animalia,Chordata,Actinopterygii
